date,business,email,status
2026-08-20,The Hair Palace,info@thehairpalace.ae,sent
2026-08-20,Pastels Beauty Salon,jumeirah@pastels-salon.com,sent
2026-08-20,Goehring Dental Group,goehringfrontdesk@gmail.com,sent
2026-08-20,Austin Dentist,info@smileaustin.com,sent
2026-08-20,Finding a Dental Provider,press@health.ny.gov,failed
2026-08-20,COSMETIC & GENERAL DENTISTRY,info@nycdent.com,failed
2026-08-20,Best Dental Clinic Dubai,info@dentistree.ae,failed
2026-08-20,Best Dental Clinic in Dubai,info@drpaulsme.com,failed
2026-08-20,Find a Dentist,feedback@sda.org.sg,failed
2026-08-20,National Dental Centre Singapore,education@ndcs.com.sg,failed
2026-08-20,"Stiles Real Estate Agency, Peter Stiles, Austin Texas",pm@thestilesagency.com,failed
2026-08-20,"Buying Real Estate in Chicago and Chicago Suburbs, IL",tim@otlhomeinspect.com,sent
2026-08-20,"Real Estate NYC Midtown Manhattan, Realty Agency near Queens ...",info@aarealestatenyc.com,sent
2026-08-20,Real Estate Agents Sydney,infopmd@pia.com.au,sent
2026-08-20,Australia's leading Real Estate Agency,tprocter@theagency.com.au,sent
2026-08-20,Dubai Real Estate,info@espace.ae,sent
2026-08-20,"Real estate agency in Dubai, UAE",info@axcapital.ae,sent
2026-08-20,Home for all your legal matters,admin@melbournelawoffices.com.au,sent
2026-08-20,Top Law Firm in Singapore,hello@irblaw.com.sg,sent
2026-08-20,Home: Allen & Gledhill,enquiries@rahmatlim.com,failed
2026-08-20,Lee & Lee,leenlee@leenlee.com.sg,failed
